"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","5.3","6.6","6.7","9.3","10.8","9.4","11.2","","","","","","","","10.394","22.974","19.295","19.523","18.884","17.511","16.576","17.499","18.261","17.617","17.705","10.589","9.794","8.055","8.418","","",
"American Samoa","ASM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","12.99","17.24","19.08","14.87","13.79","14.35","12.41","12.61","12.78","12.96","13.11","13.29","13.38","","","","5.11","","","","","","","","","","5.05","","","","","9.98","","","","","9.2","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","20.46","19.46","19.45","20.69","","","","","","","","","","","","","","","6","","","","","","","","","","8.42","","","","","","","","","","","","","","","","","8.78","","","","","",
"Australia","AUS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","6.265","6.105","5.784","7.163","9.961","8.987","8.258","8.081","8.106","7.226","6.175","6.926","9.586","10.733","10.879","9.724","8.473","8.509","8.367","7.684","6.876","6.288","6.747","6.375","5.933","5.399","5.036","4.785","4.381","4.242","5.565","5.214","5.083","5.225","5.663","6.078","6.055","5.711","5.592","5.345","5.143","6.394","5.023","3.728","3.668",
"Austria","AUT","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","2.8","2.4","1.5","1.3","1.2","1.3","2","2","1.8","2.1","2","1.9","2.06","3.35","4.11","3.8","3.6","3.12","3.79","3.55","3.14","3.25","3.42","3.59","4.25","3.535","4.345","5.282","5.15","5.483","4.699","4.687","4.007","4.852","4.779","5.969","5.682","5.32","4.909","4.198","5.371","4.883","4.637","4.909","5.367","5.674","5.802","6.064","5.561","4.933","4.56","5.201","6.459","4.992","5.264",
"Azerbaijan","AZE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11","0.17","0.52","0.65","0.8","0.9","1.03","1.13","16.25","11.78","10.91","10.04","9.17","7.99","7.26","6.62","6.33","5.86","5.74","5.63","5.42","5.19","4.97","4.91","4.96","5","5","4.9","5","7.24","6.04","5.65","",
"Burundi","BDI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","","","","","","","","","14","","","","","","","3.185","","1.634","","","","","","1.572","","","","","","1.03","","","",
"Belgium","BEL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","2.1","2.7","2.8","3","5.1","6.5","5.67","7.9","6.96","9.1","11.35","13","11.66","11.882","11.321","11.28","11.257","10.128","8.284","7.25","6.984","6.702","8.078","9.645","9.337","9.483","8.95","9.323","8.649","6.586","6.178","6.91","7.68","7.363","8.44","8.246","7.459","6.976","7.908","8.293","7.14","7.542","8.425","8.523","8.482","7.83","7.09","5.941","5.364","5.545","6.248","5.57","5.528",
"Benin","BEN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.18","","","","","","1.51","","","","","","","","","","0.69","","","","","","","","1.04","2.647","","","","","","","","1.214","","","1.685","",
"Burkina Faso","BFA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","","","","","","","2.58","","","","2.44","","","","","2.78","","4","","3.3","","","","","","","6.481","","","","4.695","1.56","","","1.927","5.348",
"Bangladesh","BGD","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","2.04","2.02","0.96","","","0.92","","2.2","","","","","2.51","","","","3.27","","","4.32","","4.25","3.591","","","5","3.379","","","4.426","","","4.35","4.372","","","","","4.593","",
"Bulgaria","BGR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","11.1","15.3","16.4","12.8","11.1","12.5","13.7","12.2","14.1","16.218","19.921","18.11","13.733","12.037","10.083","8.951","6.878","5.609","6.817","10.279","11.26","12.27","12.941","11.424","9.143","7.575","6.164","5.211","4.23","5.125","5.267","4.268","4.319",
"Bahrain","BHR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","3.7","4","1.13","4","1.2","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","8.6","","21.2","","20.86","","14.7","","","","","","","12.09","","11.02","11.59","7.77","12.17","14.81","12.72","13.83","10.83","11.46","9.76","7.65","7.45","","6.87","9.05","10.84","10.2","10.2","7.54","7.88","8.18","14.25","","14.52","14.02","16.18","13.8","12","12.7","9.8","10","9.336","","","","8.643",
"Bosnia and Herzegovina","BIH","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.55","","","","","","","","","","16.1","","","","","31.11","28.984","23.405","24.068","27.312","27.582","28.01","27.49","27.517","27.695","25.408","20.527","18.4","15.692","15.868","14.897","12.657","10.668",
"Belarus","BLR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.5","1.4","2.1","2.9","4","2.8","2.3","2.1","2.1","2.3","3","3.1","1.9","1.5","1.2","1","0.8","6.1","","0.6","0.5","0.5","0.5","1","5.844","5.648","4.763","4.165","4.049","3.9","3.574","3.461",
"Belize","BLZ","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.78","11.1","12.48","13.82","12.68","14.31","12.84","","9.07","10.04","","","10.91","9.39","8.51","8.18","","","","","8.349","8.244","7.578","7","6.596","9.346","9.053","29.283","","","",
"Bermuda","BMU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.71","","","","","","","","","4.48","6.49","","8.44","6.66","8.94","","","","","","","","","",
"Bolivia","BOL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","9","8.1","7.1","6.1","5.2","5.3","5.3","5.5","5.6","6.1","10.16","11.6","14.19","14.66","19.28","19.76","20.32","18","10.1","6.69","6.59","5.52","5.99","3.08","3.69","5.23","2.08","","3.93","4.47","5.24","5.48","","4.17","5.45","5.08","5.18","2.603","2.973","","2.255","2.066","2.437","2.021","3.111","3.498","3.655","3.519","3.682","7.903","5.089","3.552","3.024",
"Brazil","BRA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","3.06","2.78","","","1.92","2.32","2.36","2.76","","3.99","4.83","4.62","4.04","3.38","2.37","3.56","3.79","4.145","4.703","","7.086","6.03","","7.092","8.035","9.003","10.15","11.125","","10.649","10.641","11.169","10.072","10.551","9.692","9.28","8.268","9.419","","7.578","7.251","7.071","6.755","8.538","11.58","12.792","12.33","11.936","13.697","13.159","9.231","7.947",
"Barbados","BRB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","9.86","12.45","13.29","9.45","8.98","7.23","8.39","9.06","17.02","18.85","17.88","17.94","17.57","14.06","8.16","7.52","22.94","24.54","22.98","19.66","14.71","14.61","12.4","10.61","9.35","9.85","10.32","11","","","","","","10.02","10.69","","","11.55","12.17","9.803","8.247","8.62","8.321","8.41","","11.015","","",
"Brunei Darussalam","BRN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","8.252","7.85","8.063","8.696","10.041","7.668","7.842","6.548","6.037","","","","","","","","4.7","","","","","","","","","","","","","","","","","","","","","","","6.862","","","9.316","8.7","6.6","7.409","4.905","5.191","5.296",
"Bhutan","BTN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.4","","1.9","","1.8","2.49","3.1","3.13","3.7","","3.96","3.32","3.23","2.05","2.87","2.63","2.45","","","3.35","2.72","5.03","4.804","5.947","3.126",
"Botswana","BWA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","25.67","","","","","","13.82","","","21.2","","21.593","","20.86","","15.88","18.54","","23.8","","","17.782","","","16.169","17.86","","","","","","","","","20.094","21.017","23.106","23.615","23.381",
"Central African Republic","CAF","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","4.7","5.9","6.4","6.3","5.6","5.4","","7.09","8.049","8.376","7.525","7.537","7.607","11.04","12.018","11.344","10.503","9.593","8.82","7.762","7.547","8.131","10.316","11.197","11.377","10.395","9.489","9.62","9.101","8.279","7.583","6.829","7.219","7.665","7.574","7.185","6.758","6.484","6.156","6.284","8.46","8.178","7.637","7.392","7.143","7.023","6.945","7.038","6.426","5.837","5.69","9.657","7.527","5.28","5.415",
"Central Europe and the Baltics","CEB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6432279928079","12.3713532490751","11.5694581689929","10.8542524226603","10.3705363066007","9.39801131815949","9.19134382326191","10.6194719048087","12.1661215560372","13.5053161773626","13.9572079938527","13.2636490506495","12.8766296492385","12.0310571699923","10.1172085305052","7.80513723734556","6.60033721091347","8.51651568379027","9.92654756624789","9.80886284662704","10.0088523487766","10.0782197979106","8.87950882306175","7.81595111887481","6.48162116354963","5.28420173535009","4.30578107835685","3.77105548227303","4.35908782414679","4.46317615361708","3.98428380332067","4.01484038583714",
"Switzerland","CHE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","0.3","0.7","0.4","0.4","0.4","0.2","0.2","0.4","0.9","1.1","1","0.8","0.8","0.7","0.6","2.07","1.818","2.344","3.551","3.58","3.094","3.684","4.127","3.568","3.053","2.658","2.49","2.924","4.117","4.316","4.437","3.995","3.641","3.35","4.109","4.808","4.409","4.491","4.747","4.826","4.801","4.918","4.797","4.713","4.394","4.817","5.013","4.122","4.043",
"Channel Islands","CHI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","14.69","12.75","11.83","14.26","13.63","10.46","11.35","19.6","14.65","13.91","","8.71","","6.23","5.29","5.63","5.23","4.35","4.49","5.87","4.7","7.414","7.136","7.307","11.158","10.491","10.39","10.168","9.765","10.162","9.34","9.024","8.427","9.285","11.313","8.278","7.277","6.562","6.074","6.483","6.313","6.673","7.257","7.623","7.493","10.934","9.281","8.249","9.013",
"China","CHN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","5.3","5.4","4.9","3.8","3.2","2.3","1.9","1.8","2","2","2","2.6","2.5","2.3","2.3","2.6","2.8","2.9","3","3.1","3.1","3.1","3.707","3.6","4","4.3","4.2","4.2","4.1","4","4.2","4.3","4.1","4.1","4.1","4.05","4.1","","","3.9","4.93","5.15","5.61","5.11","","",
"Cote d'Ivoire","CIV","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","","","4.1","","","4.1","","","","","","","","","","","","","","7.223","4.255","","","1.896","3.273","","2.401","","","2.31","",
"Cameroon","CMR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.06","","","","","7.46","","","","4.4","","3.063","","","4.11","","","","3.534","","","","","","","3.275","","",
"Congo, Dem. Rep.","COD","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.948","","","","","","","4.485","","","","","","","","1.466","","","",
"Congo, Rep.","COG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.796","","","","19.86","","","10","","","","","","","","","","","",
"Colombia","COL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","10.55","","9.4","","","9.1","8.13","11.46","11.13","13","13.89","12.94","10.83","","","","10.12","9.44","7.8","8.25","8.72","11.81","12.14","15","20.06","20.52","15.04","14.481","13.221","13.717","11.062","","11.204","11.273","12.066","11.153","10.288","9.959","9.246","8.799","8.572","8.922","9.086","9.36","10.28","15.983","13.898","10.547","9.603",
"Comoros","COM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.571","","","","","","","","","","8.143","","","","","","","4.394","","",
"Cabo Verde","CPV","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","13.517","10.67","","","","","31.313","","12.24","12.17","11.29","","","","",
"Costa Rica","CRI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.051","6.396","6.654","6.445","6.749","5.926","4.557","4.934","7.824","7.171","9.518","9.11","8.218","8.499","8.415","8.085","7.729","9.01","10.807","16.432","15.139","11.325","8.325",
"Caribbean small states","CSS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6469538165611","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.27","7.61","7.1","6.23","6.26","5.45","4.08","3.31","2.33","1.854","1.95","1.913","1.788","1.583","1.67","2.5","3.18","3.46","3.29","2.7","2.4","2","1.7","1.7","","","","","",
"Curacao","CUW","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.78","","13.03","12.61","11.71","","","13.43","","19.07","","","",
"Cayman Islands","CYM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.91","","7.22","5.74","4.94","5.1","4.14","4.17","","","7.54","5.37","3.61","3.45","3.54","2.62","3.83","3.97","6.04","6.68","6.78","6.21","6.27","4.7","4.24","","","","","","","","",
"Cyprus","CYP","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","10.9","7.4","3.1","2","1.7","2","2.6","2.8","3.3","3.3","3.3","3.7","3.4","2.8","2.3","1.8","3","2.09","2.7","2.7","2.6","3.1","3.4","3.3","5.532","4.766","4.043","3.336","4.153","4.77","5.481","4.593","3.946","3.756","5.594","6.36","7.942","12.097","16.131","16.277","15.026","13.006","11.155","8.504","7.155","7.755","7.513","6.807","5.835",
"Czechia","CZE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","2.27","2.6","4.349","4.284","4.083","3.852","4.674","6.455","8.702","8.764","8.128","7.281","7.777","8.298","7.927","7.141","5.316","4.393","6.662","7.281","6.712","6.979","6.953","6.108","5.048","3.952","2.893","2.246","2.015","2.551","2.803","2.224","2.58",
"Germany","DEU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","6.449","6.673","6.875","6.608","6.813","6.319","5.705","4.89","5.316","6.323","7.675","8.727","8.158","8.822","9.861","9.787","8.854","7.917","7.773","8.482","9.779","10.727","11.193","10.277","8.732","7.508","7.88","7.043","5.967","5.372","5.316","4.98","4.612","4.104","3.781","3.384","3.163","3.881","3.594","3.12","3.068",
"Djibouti","DJI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.064","","","","","","",
"Dominica","DMA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.33","","9.53","","","","","","23.18","","15.67","","10.96","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","0.9","2.1","5.1","5.3","6.4","7.3","6.1","7","9.2","10","9.745","8.868","7.797","6.033","6.091","6.486","8.149","8.338","9.099","9.027","10.719","8.036","6.992","6.844","5.4","5.039","5.142","4.476","4.164","4.274","5.398","5.204","4.83","3.897","3.801","3.683","6.409","7.747","7.769","7.798","7.384","6.925","6.278","5.989","5.833","5.131","5.018","5.637","5.043","4.434","5.094",
"Dominican Republic","DOM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.432","7.262","6.779","6.938","6.303","6.587","5.655","5.158","4.764","5.467","5.212","6.087","6.722","7.352","6.719","7.605","7.284","5.832","5.861","6.356","6.126","7.702","5.504","5.555",
"Algeria","DZA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.64","21.26","20.6","24.38","26.23","27.74","31.84","","25.43","","","29.77","27.3","25.9","23.72","17.65","15.27","12.27","13.79","11.33","10.16","9.96","9.96","10.97","9.82","10.207","11.206","10.202","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75762756237607","2.57240319357772","2.54760222267913","2.79371137250645","3.11860321825038","3.05536822733482","3.22735965043716","3.32189979028154","3.5518874856757","3.6088443895079","4.07905839374532","3.78916766484945","4.21179881333051","4.30930173503841","4.33716317984073","4.47588174303606","4.378078409723","4.2068039616887","4.38055445736549","4.2238939197273","3.93584621471532","3.87505367889353","3.80056209795271","3.74228218514453","3.75670456030285","","","3.52925413040548","4.29600317960241","4.33599180492269","4.82179514809106","4.54934786668444","","",
"Early-demographic dividend","EAR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.25708761556292","","","","","","5.36177194180001","","","","","5.83769893596833","","","","","4.92615049697499","","5.03133626949315","","","","","","7.03401314320924","6.4294477558825","7.57602038576137","6.64266829633951","5.60383750341637","5.17835618086222",
"East Asia & Pacific","EAS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.73763001844458","2.60020867193169","2.60027429990932","2.85114505846167","3.14106440962603","3.08984802287112","3.26166770279417","3.35178436564656","3.70139177743061","3.77936611655344","4.13866868053713","3.90881820440981","4.3122214538455","4.38371252262684","4.36355116534284","4.4584347728301","4.34061163590436","4.15970956590431","4.3175627471987","4.29517855630853","4.02063696672027","3.91469773376105","3.83286521050206","3.76387879061245","3.76138924534931","","","3.52221244320856","4.18479103182222","4.20691949617531","4.69728842534161","4.43469657074071","","",
"Europe & Central Asia (excluding high income)","ECA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.48182767010726","7.77469534566528","8.32505475907895","9.34233373309503","10.6271367008551","8.56052954212388","8.73525170953121","8.77386060716697","8.5881983275316","8.42688592419824","7.94134078750582","8.10066686122056","8.41649378189421","8.58991017759907","10.346689892976","9.88338974322485","8.79559578957176","8.46501929661765","8.4169540972728","8.82417891810979","8.83571769086339","9.15798085629545","9.03174724954834","9.10244671592785","9.64734981133937","9.23655153300735","9.95991761251761","","",
"Europe & Central Asia","ECS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6772999490123","8.80343890238366","9.76676133383447","9.49222729521336","9.85200469996439","10.1807910678663","10.3481999717815","10.4018987191937","9.19939584636925","8.6210308762606","8.63500133581803","8.72482050492432","8.67156830993455","8.3599162449355","7.93512684421991","7.20054455273956","7.16170344723178","9.09953324848616","9.186445559829","8.83117438705551","9.04247181809973","9.23983618100985","8.91734020408868","8.52901645810575","8.10143490887674","7.49739897381694","6.98517726398426","6.73364032312414","7.07017976620971","6.9366686527733","5.8330717013591","5.56992854863256",
"Ecuador","ECU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","4.4","5.3","","5.8","","","","","","","","","","7.24","6.99","7.71","5.88","8.19","8.56","7.95","6.68","6.7","10.38","9.17","11.49","13.96","4.8","4.252","","5.662","5.002","3.779","3.55","3.142","3.917","4.608","4.088","3.458","3.235","3.083","3.48","3.616","4.597","3.836","3.53","3.812","6.116","4.504","3.713","3.51",
"Egypt, Arab Rep.","EGY","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","2.4","1.82","1.53","1.71","2.3","2.57","","3.13","3.64","4.55","5.18","4.97","5.21","6.47","5.89","","","","","7.06","8.43","9.38","8.92","10.92","10.93","11.04","9","8.37","8.03","7.95","8.98","9.26","10.01","10.91","10.32","11.049","10.49","8.8","8.517","9.087","8.757","11.849","12.597","13.154","13.105","13.052","12.45","11.767","9.855","7.851","7.974","7.441","7.344","6.753",
